Constituency Number,Constituency Name,District,Member Name,Party,Latitude,Longitude
1,Akkalkuwa,NANDURBAR,Amshya Fulji Padvi,SHS,21.787078569185798,74.20207266715786
2,Shahada,NANDURBAR,Rajesh Udesing Padvi,BJP,21.6384898735429,74.40446224949933
3,Nandurbar,NANDURBAR,Dr.Vijaykumar Krushanrao Gavit,BJP,21.406113076850943,74.44161736891763
4,Nawapur,NANDURBAR,Shirishkumar Surupsing Naik,INC,21.232165454749367,73.90237210790302
5,Sakri,DHULE,Manjula Tulshiram Gavit,SHS,20.996299467056563,74.23508546911096
6,Dhule Rural,DHULE,Raghavendra (Ramdada) Manohar Patil,BJP,20.851373085487893,74.78489062637689
7,Dhule City,DHULE,Agrawal Anupbhaiyya Omprakash,BJP,20.90063266303179,74.78710695753972
8,Sindkheda,DHULE,Jaykumar Jitendrasinh Rawal,BJP,21.2458442828432,74.67223361358602
9,Shirpur,DHULE,Kashiram Vechan Pawara,BJP,21.44773416646391,74.91499982189885
10,Chopda,JALGAON,Chandrakant Baliram Sonawane,SHS,21.333276595243365,75.47474750473836
11,Raver,JALGAON,Amol Haribhau Jawale,BJP,21.304634211668695,75.90830316685593
12,Bhusawal,JALGAON,Savkare Sanjay Waman,BJP,20.99050918335104,75.8311997081633
13,Jalgaon City,JALGAON,Suresh Damu Bhole (Raju Mama),BJP,20.99773417034412,75.57926584403235
14,Jalgaon Rural,JALGAON,Gulabrao Raghunath Patil,SHS,21.002980843491986,75.47784673777109
15,Amalner,JALGAON,Anil Bhaidas Patil,NCP,21.043933441792976,74.96829591991224
16,Erandol,JALGAON,Amol Chimanrao Patil,SHS,20.831843865089123,75.15130023716554
17,Chalisgaon,JALGAON,Mangesh Ramesh Chavan,BJP,20.516530272087856,74.93799594893785
18,Pachora,JALGAON,Kishor Appa Patil,SHS,20.562375600588158,75.37399321609806
19,Jamner,JALGAON,Girish Dattatray Mahajan,BJP,20.634725701000047,75.79441174442785
20,Muktainagar,JALGAON,Chandrakant Nimba Patil,SHS,21.00732310485274,76.16414516671223
21,Malkapur,BULDANA,Chainsukh Madanlal Sancheti,BJP,20.905979722653086,76.21228004793933
22,Buldhana,BULDANA,Gaikwad Sanjay Rambhau,SHS,20.636931043440892,76.04466185802775
23,Chikhli,BULDANA,Mrs Shweta Vidyadhar Mahale,BJP,20.37311053638524,76.087513056779
24,Sindkhed Raja,BULDANA,Kayande Manoj Devanand,NCP,20.00248625991475,76.1957509909966
25,Mehkar,BULDANA,Kharat Siddharth Rambhau,SHS-UBT,20.1157151376009,76.62801335400438
